time,distance,gaze
3.465759,1.6138,0.856752
3.76697,1.61912,0.858777
4.067403,1.616289,0.858075
4.368554,1.608248,0.855231
4.669313,1.600113,0.851841
4.969531,1.596655,0.850185
5.270006,1.600994,0.852058
5.570452,1.606668,0.85424
5.870788,1.610672,0.856137
6.170983,1.614049,0.858443
6.471089,1.611239,0.858044
6.771822,1.601064,0.854538
7.072011,1.598471,0.853348
7.372787,1.603067,0.853916
7.672812,1.610834,0.855779
7.973781,1.618344,0.858385
8.273997,1.617926,0.858562
8.574413,1.610921,0.856259
8.874608,1.602495,0.852866
9.175026,1.596826,0.850341
9.475421,1.599278,0.851347
9.775439,1.604954,0.853554
10.07653,1.609667,0.855621
10.37723,1.612936,0.857508
10.67843,1.613685,0.858838
10.97942,1.603941,0.855533
11.27984,1.598075,0.853428
